service_name,genre,contractcycle_month,contractcycle_year,monthly_fee,annual_fee
Amzonプライム(1ヶ月),ショッピング,1,,500,
Amzonプライム(1年),ショッピング,,1,,4900
Spotify,音楽,1,,980,
Apple Music,音楽,1,,980,
LINE MUSIC,音楽,1,,960,
Amzon Music Unlimited,音楽,1,,980,
YouTube Premium,動画配信,1,,1550,
U-NEXT,動画配信,1,,2189,
Hulu,動画配信,1,,1026,
Netflix,動画配信,1,,880,
dTV,動画配信,1,,550,
dアニメストア,動画配信,1,,440,
ディズニープラス,動画配信,1,,770,
FODプレミアム,動画配信,1,,976,
Paravi,動画配信,1,,1017,
TELASA,動画配信,1,,618,
ABEMAプレミアム,動画配信,1,,960,
Kindle Unlimited,本,1,,980,
dマガジン,本,1,,400,
楽天マガジン,本,1,,380,
ブックパス,本,1,,562,
Apple Arcade,ゲーム,1,,600,
PlayStation Now(1ヶ月),ゲーム,1,,1180,
PlayStation Now(1年),ゲーム,,1,,6980
PlayStation Plus(1ヶ月),ゲーム,1,,850,
PlayStation Plus(1年),ゲーム,,1,,5143
Nintendo Switch Online(1ヶ月),ゲーム,1,,306,
Nintendo Switch Online(1年),ゲーム,,1,,2400
Pairs(1ヶ月),恋愛・婚活,1,,3590,
Pairs(1年),恋愛・婚活,,1,,15840
ゼクシィ縁結び,恋愛・婚活,1,,4378,
BLOOM BOX,コスメ,1,,1650,
MY Little Box,コスメ,1,,3350,
Laxus,バッグ,1,,6800,
SparkleBox,アクセサリー,1,,2500,
MECHAKARI,洋服,1,,5800,
leeap,洋服,1,,7800,
MEZON,美容室,1,,16000,
Optune,スキンケア,1,,10000,
リネット,クリーニング,1,,390,
